Unit: 2012 USD,GDP
2014.0,100118300000.0
2015.0,100242500000.0
2016.0,100656500000.0
2017.0,101515700000.0
2018.0,102837400000.0
2019.0,104209200000.0
2020.0,105887155184.96182
2021.0,107381705741.70412
2022.0,108950371422.30087
2023.0,110643967515.35944
2024.0,112457537821.20624
2025.0,114366301341.47331
2026.0,116352085344.0242
2027.0,118402015103.27005
2028.0,120506576994.55005
2029.0,122658422170.07231
2030.0,124853107140.47433
2031.0,127089777388.57098
2032.0,129371224337.16696
2033.0,131702404185.93582
2034.0,134088614941.42522
2035.0,136534926738.9334
2036.0,139046238810.32166
2037.0,141627735226.51288
2038.0,144283403734.3709
2039.0,147015693949.8264
2040.0,149826144003.81244
2041.0,152716007188.2006
2042.0,155686992537.36102
2043.0,158739384890.35544
2044.0,161871703084.06302
2045.0,165081611438.1778
2046.0,168367514853.95425
2047.0,171728729717.64432
2048.0,175163717898.31482
2049.0,178670029780.0351
2050.0,182245215746.87454
2051.0,185888421281.64804
2052.0,189600899676.2271
2053.0,193383676351.23383
2054.0,197237491888.22867
2055.0,201163428675.64603
2056.0,205164449039.72763
2057.0,209245850987.0211
2058.0,213413160395.32346
2059.0,217671903142.43164
2060.0,222028174784.26608
